id	prompt	essay	content	organization	language	total
545	Some people prefer to spend time with one or two close friends. Others choose to spend time with a large number of friends. Which of these two ways of spending time do you prefer? Use specific reasons and examples to support your answer. 	"    I think that we need to spend time with a large number of friends. Also, you can make specially close one or two friends. But if you spend your time with only one or two friends, It will be disadvantage.  
     First of all, it is good for your life meeting many kind of people. If you have some close friends, you can know only some kind of life. I think that people grow with many experience. So, making large friends will move your insight more board. For example, I graduated at science high school. And most of my friends are good at science or math. When I met other friends whose major is English or Korean,  I did not know how to start speak.
     Second, if you have only one or two friends, when you want to spend your extra time, they may not have time to spend with you. Everyone has each schedule.  If you make free time and find your friends who have same free time with you, it is very big advantage that you know a lot of friends that you can call. In campus, I know only 5 people. So I sometimes eat lonely.
     Finally, you should spend time with a lot for friends to grow social ability. Social in Korea want the social ability. Social ability means that the ability about how to you make to friends are felt friendly. Especially in Korea,  firm want you can spend time with all of their members. So it will be very important ability when you want to find firm.
     In summary, you have to spend with many friends because of to learn many kind of life, to spend your time with friends, and to grow social ability."	3	3.5	3.5	10
546	Some people prefer to spend time with one or two close friends. Others choose to spend time with a large number of friends. Which of these two ways of spending time do you prefer? Use specific reasons and examples to support your answer. 	"There is no exactly one answer to spend time with people since each person's characteristic and way of thinking vary. So some like to get along with a small number of friends and others like to get along with a large number of friends. Each way of spending time with people has own merits, but I think the former is better. So, I prefer the former way. I'm going to explain why I think that way.
  First, I can maintain very close relationship with my friends. I usually get along with four friends who graduated from the same high school. Once I and my friends meet at some cafe or somewhere, we can talk about each person's routine for a long time and share some ideas about their future plan. By doing that, I was able to understand their hobbies and goals deeply and make a close connection with them. On the contrast, if I spend time with more people including them, it was much harder to talk individually. Therefore, I would not get close to them.
  Second, it is more time-efficient than the opposite way. It is necessary to spend time making a reservation for meeting place such as restaurant or cafe. If there are a lot of people to meet, someone must adjust everyone's schedule, which is very difficult. For example, when I was a middle school student, more than 15 classroom mates agreed to meet at the school playground by 9:00am for the travel. But some of them got up late in the morning and arrived the place we promised to meet about 9:30am. Some arrived on time but others late. So, the whole travel schedule was delayed more than 30 minutes, which made us to give up some planned activities. From this experience, I realized that it is not time-efficient to promise to meet more than 10 people at once. We can do more things without consuming time to decide what to do, where to go or what to eat. Thus, I don't have to spend much time adjusting all of my friends' schedule and worry about being late by getting along with a small number of friends.
  For these reasons, I prefer to spend time with a small number of close riends."	3	3.5	3.5	10
547	Some people prefer to spend time with one or two close friends. Others choose to spend time with a large number of friends. Which of these two ways of spending time do you prefer? Use specific reasons and examples to support your answer. 	"I prefer to spend a time with one or two close friends, instead of spending more time with a large number of friends. Not every people will think like this because preference of us are all different. However, there are some reasons why I enjoy spending time with small amount of friends.
First of all, playing with less than three people is more effective. All of us have different needs, preferences, and feelings. For example, food is a very important topic to discuss between friends, because we always go to have lunch or dinner when we spend time together. But, if they have different preferences, it may make them really exhausted all the time they meet. In a large group, selecting a menu is a big issue. More person in the group, variety preferences exists. This makes people use more energy in choosing what to eat, instead of paying more attention to each other. On the other hand, if we meet only one or two close friends, we don't need to discuss a lot about food. We can just choose a menu in short time and spend more time in talking or doing other activities.
Second, it is more friendly in smaller group.  If there are lots of people, they usually have conversation in a smaller group. Of course, members will be rotated as the time goes, however, they can not spend entire time with each person. Otherwise, in a smaller group, all members can interact entire time, so, they can have more chance to know about each other. I'm perfectly sure that smaller group can be more familiar with friends. For instance, when I was in middle school, I had 25 girls in class, but in high school, there was 4 girls in class. Of course, I felt happy in both of them, but most of friends who are in touch with me now are from high school. In my experience, smaller group was better to make best friends. 
Because, spending time with one or two close friends is more effective and friendly, having time with smaller group is better than having time with a lot of friends."	3.5	4	3.5	11
548	Some people prefer to spend time with one or two close friends. Others choose to spend time with a large number of friends. Which of these two ways of spending time do you prefer? Use specific reasons and examples to support your answer. 	"When we become a university student or an adult, we meet many new people and new groups. For examples, we meet new school friends, meeting from other countries. I meet many new people, too. So I can determine clearly about this issue, I prefer meet one or two friends than large number of friends. There are three reasons why I prefer small groups. 
 First of all, I can focus on their talks more. When we meet many numbers of friends, they are talking about their own issues. For instance, if we meet eight peoples, there are three groups with three members. And they talk about absolutely different topics. So I cannot focus on one issue,   it make me confused. On the other side, If I meet only few friends, I can listen their topics better. Then I can make opinion or understand their feelings more easily.
  Second, I cannot feel friendships with all friends absolutely. There are many talks, so I always exchange many talking partners. So sometimes, we cannot our talks. Then I feel something lose,  because I feel fine when we finish talks and make conclusions. 
  Third, I like meeting of quiet places. If someone ask to me""Which one is better, concerts or movies?"", I can say I prefer movies. It is same at meetings. When we go to restaurants with many people, I can focus on something. There are too many noises, talks. So I can listen friends' sound. But when we go with less people, I can focus on more my own issues.
  There are three reasons why I prefer small groups than large numbers of groups. Those are focus problems, felling friendships, quiet places. But it is just prefer. I think we need many kinds of meetings and many different friends when we become an adult. So I hope you can make groups of right numbers which you feel better. Thank you for reading my article."	3.5	3.5	3.5	10.5
549	Some people prefer to spend time with one or two close friends. Others choose to spend time with a large number of friends. Which of these two ways of spending time do you prefer? Use specific reasons and examples to support your answer. 	"     People spend their time with their friends. Some people have a lot of people, but others doesn't have too many friends. I prefer to spend time with one or two close friends. 

      First of all, I'm hard to make friends. I am hard to talk first with first talking person, but if I think someone is very close to me, I become very active. I want to see many factors when I am making friends. Thus, I have some close friend.

      Second, if I have a lot of friends, spending time with each friend will be reduced. Thus, making very close friends is harder than other case. If I have some close friend, we meet much time than other, so we will get closer and closer.

      Finally,  one close friend easily help me than many less closer friends. When I have troubles or problems, I can easily tell my situation to very close friends, and they will come to me as fastest as possible. However, if I have a lot of friends, but I don't have really close friends, I will not be easily able to tell my situation to them.

     For these reasons, I prefer to spend with one or two close friends than many less closer friends."	2	3	2.5	7.5
550	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"I would like to choose my own roommate. 
 The main reason is about handling the conflict bewteen roommates. Since the Dormitory room is the place where the roommate and I are living, the conflict between us seems to be unevitable. There might be several kinds of conflicts, including cleaning the room, living pattern, and gap of individual characteristics as well. It would be great if the roommate and I become best friends and we can also handle all the problems between us. However, if the university assigns the student into each room randomly, those troubles are expected. If we choose our own roommate, we will be able to get through the problems much more easier. 
 The other reason is happiness. We spend a lot of time in dormitory. At least 8 hours each day. Which means we spend a lot of time with roommate as well. The roommate is almost family, since we have meal together, get to sleep together, and might get into class together. Students must have right to choose someone to spend time with. In this case, someone would be his/her roommate. 
 For happier campus life especially in dormitory, I prefer choosing my roommate to being assigned by college."	2.5	3	3	8.5
551	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"As the semester begun, there is some issues about the roommate of dormitory rooms. If you do not choose your own roommate, you would meet a student who is assigned by university. The student may be gentle, friendly, and may become a best friend later. However, you and your roommate may also have a trouble with the room condition. Hence, I'd rather choose my won roommate when I get this situation. 

 The random roommate is random. It means that I cannot choose his characteristics.  For example, I have a friend who have a university assign student to share room with him. He got a roommate who did not clean his room for more than 3 months. He got a lot of stress and finally clean his roommate's trashes, bed, and desk. He told me that it is not easy to clean the things that he didn't messed up. From this story, I've learned that random doesn't always means good and may be bad.

 Also, you can be real friend with your own roommate. If you become a roommate with your friends, then you may live him with at least 8 hours a day. You will know his small habit which you didn't recognize before. As time pass by, you will understand what your friends want to say, even if your friends don't tell you and just pointing something. It is very meaningful to get someone who understand you and this may be the great chance to get him.

 Of course there is one who want to meet a new roommate and be friend, but for me to be friend with strange is not an easy activity to do.To talk with someone who is not close to me is also not an easy thing. Since we live together, there may be a situation that I should ask him to do something but it will give me tons of stress and that situation may be very stressful. 

 University is a place to meet a new friend but the dormitory room is a place that we take a rest and should be the best place to find peace. However, if I choose the random roommate, many issues can happen and will be not a peaceful place  to take a rest. For these reasons, I would live with my own roommate."	3.5	3	3.5	10
552	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"I think that dormitory rooms at the university must be shared by two students, and there are two ways to sharing rooms. One is the university assign a student to share a room, and another is the students choose their roommates. Then, I prefer the way that we choose our own roommates, and explain why this method is better.
 First, it helps on students' mental health. During the dormitory life, the most threaten factor to students is mental health. Other factors like physical problems or economic problems can solve with help of university. However, it is hard to take care their mental health. So, by choosing their own roommates, it will provide the dormitory environment that students can satisfy and feel comfortable.
 Second, the university can easily control the dormitory. If we cannot choose our own roommates, their will be able to have some complains about their roommates. Then, they can have the conflicts and the accidents with them
 As a result, dormitory rooms in university should be chosen their own roommate because it is good for students' mental health and dormitory."	1.5	2	2.5	6
553	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"I would like to choose my own roommate rather than having the university assign a roommate for me. There are mainly two reasons why I prefer choosing roommate by myself. Before starting my argument, I will set a basic condition that roommate chose by the university is likely to be someone who I don't know at all.

 First, living with someone who I know is much more convenient than living with someone who I don't know. So it is better to choose roommate by myself.  When I choose my roommate, I can live with friends or people who I know well so I can easily communicate with them about some problems happening in room in fast and easy ways. For example, if there's some problem in bathroom facilities in my room, I can freely call or talk to my roommate to notice it and solve it together. However, if I become a roommate with someone who I never met, I would be worried about talking about some problems in my room because of my shyness.  So in order to enjoy convenient and direct solving dormitory life, it will be better to live with someone who I know.

 Second, using dormitory room means sharing my individual life, sometimes important secret, with a roommate so it is better to live with someone I know. Because living in one room involves some conditions of sharing my life pattern with my roommate, I don't want to give so many information about me to someone who I don't know. Especially nowadays because of pandemic, I have to talk with someone by phone call,  sometimes eat my meal simply in my dormitory room. And I won't like to share all my daily life to stranger just because she is my roommate. In addition, it's quite negative imagination but if I become a roommate with someone who really hates me or I hate, it will be very stressful. As I think dormitory room should also work as 'home' where I can relax and feel calm while using there, I want to live with roommate who I chose, approved that I can share some of my personal life with her.

 To summarize my argument about the topic, I would prefer choosing my own roommate because living with someone who I can communicate easily and share some of my daily life is much better than living with someone who I don't know. Some might say living with a stranger is not hard at all, so it is okay for the university to randomly match roommates. However, because it differs by person by person, to choose one common method of roommate decision system, it will be better to give chances to people like me who have worries about living with random roommates."	4	4	4	12
554	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "		3.5	3.5	3	10
555	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"There are many problems with roommate at dormitory rooms when we live in dormitory. I think choosing my own roommate is better than university assigning a student to share a room with me. There are some reasons why I think like this.
 First, if one of roommate come from other country, it will be difficult to communicate and understand each other. For example, not all of KAIST students are good at English. But, if they have foreign country roommate, it will be hard to communicate each other. Furthermore, being friendly with each other is not easy because of language.
 Second, there are many conflict with roommate. If we choose roommate that can understand each other, it will be fine. I think this reason is why many of KAIST students choose roommate who is at same club, same class, and graduated same high school. 
 Third, it is more easy for university dormitory department. In KAIST, many student use changing roommate system. It is very hard to check because university assign a student first, and students change roommate next. So if student choose roommate, it would be more convinence for university.
 I think choosing my own roommate is better because of communication, understanding each other, and convinence of university."	3	3	3	9
556	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"I think ""Having the university assign every freshman's roommate and giving students chance to choose their own roommate from second grade""  is the best way. 

 For the first reason, it is about the merit of ""Having the university assign every freshman's roommate"". Many freshman have difficulty on making friends at first time. So it would be better to match the students randomly so that they don't concern if they can't find their roommate. And this randomly matched roommate can be good friends for each other.

 For the second reason, it is about the advantage of ""Giving students chance to choose their own roommate from second grade"". The opportunity to select their own roommate is the reasonable right for the students. And I think sophomore is the proper period that student can use that right wisely because they adapted to the university and overall dormitory life.

 This is the way that KAIST actually assigns the room for the students. And I am really satisfied with this dormitory room assignment policy. However, I also heard about the friends' story that they had some trouble with randomly assigned roommates. But thanks to the dormitory policy and dormitory readers' help, he could solve that problem well.

 So I think ""Having the university assign every freshman's roommate and giving students chance to choose their own roommate from second grade"" is the best way that offsets both way's demerits and makes merits remain."	3.5	3.5	3.5	10.5
557	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"University Students can Choose Their Own Roommates
               Do you know that where many university students live? Some university students live in their own house, but many students live in university dormitory. So, many university students have their roommates. However, in some university, students can not choose their roommates. It's because school choose random roommates. I think it's wrong. University must make students  choosing their own roommate!
               The first reason is that if students have random roommate, they can not rest well in dormitory. Dormitory is a students' house. So, students should feel comfortable when they are in dormitory. However, if they have random roommates that they don't know, then students can not rest in their room.
               Secondly, many students have different life-circle. Student A wakes up at 7:00 and sleeps at 22:00, but student B wakes up 13:00 and sleeps 3:00. So, they have different life-circle. If A and B are roommate, they will fight because of their life-style. Furthermore, students get many stress because of their roommates. So, students must choose their roommates who have same or similar life-circle. 
               The last reason is about study-place. Now, university students usually take lectures in dormitory because of COVID-19 situation. So, they have to take lecture videos or zoom lecture. If they have random roommates, some student can not take lectures in their room because that students and his roommate have to take different lectures that need to speak. For example, My friend has random roommate, and he can not take lectures in his room because his roommate has lecture at same time. 
               In conclusion, university students must choose their own roommates because of three reasons. Students can not rest and get stress because of different life-circle and same schedule. So, I think university students can choose their own roommates, not random roommates!"	3	3	3	9
558	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"I prefer the first one.
 There are several reasons that I think so.
 First, meeting new friends is important in university. And dormitory gives a good chance to make new friends. For example, there are many students in KAIST who came alone from their high school(such as non-science school). And they may think that it is hard to choose their own roommate in school. So, if university assign a student to share a room with them, they can easily meet and make new friends.
 Next, I think it is chance to friendly with many other peoples. When I was a high school student, school assign 3 students to share a room with me. At first, I was nervous because I didn't know any of them. But after some time, I can get friendly with them and also, I can meet many other people(students, teachers, ...) because of them. So, I think that it is helpful to meet many other people and know about their personality.
 Last, we can get new knowledge by meeting another person. As I mentioned above, we can meet many other people in new circumstances. And by meeting and talking with them, we can know about new information, their personality, interests, and so on. This helps us not only to study academically, but also to know 'people'.
 For these reasons, I prefer that university assign a student to share a room with me."	3	3	2.5	8.5
559	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"At KAIST almost all students live in dormitories. And there are lot of ways to assign students to the dormitory. The university can assign a student to share a room with me, or rather let me to choose our own roommate. Assigning students in the dormitory can be controversial whatever the university chooses. But in my opinion, letting the students choose their roommates are a better choice for 2 reasons.

Firstly, There will be no awkwardness between roommates, which will enhance the quality of one's life pattern. For example, If the roommate is a somebody I'm not really close to, then I have to be careful of my behavior even at my dormitory. Which will give me a lot of stress and will not allow me to rest in peace at my room. Then someone can say, ""You solve that problem by being friends with your roommate!"". That is a good solution but there are always people who can't be friends in a short time or   doesn't wanna be friends with the roommate. So, I think letting us to choose our own roommates will be a better chose then letting university to chose my roommate.

Secondly,  roommates can be better friends than before. There are some friendships that is close but not that close enough. But by being roommates they will interact each other most of their times which will yield better friendship than before. For example, We can wake each other when we have early classes and we can go eat lunch or dinner together. Or maybe lend their things each other.  Which will definitely be closer friends than before. 

We talked about whether universities should assign a student to share a room with me, or let us to choose my own roommate. And my opinion was to let the students to choose their roommate themselves because of 2 reasons. First, there will be no awkwardness between roommates, which will enhance the quality of one's life pattern. Second, roommates can be better friends than before. So, I think letting the students to choose their roommate are a better chose."	3.5	3.5	3.5	10.5
560	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"We share all of our life with roommate when we are in university which have dormitory. There are two ways to choose roommate. One is to have the university assign a student to share a room with you, and the other is to choose your own roommate. I prefer to choose my own roommate for two reasons.
 First, we can live comfortably in dormitory from the beginning of the semester. We usually feel uncomfortable when we are in the place with stranger. The student which university choose for my roommate will probably be the person who I have never met before. So, we need to have ice-breaking time. But, when we choose roommate who I already know, we will feel relaxed every time.
 Second, there will be trouble if the roommate have different life style. Roommate is very important cause we have to share nearly all of the life style with them for a half or whole year. If we met the roommate with different life style, we have to suffer for more than half of the year. Imagine the situation which person A who sleeps early and study in the morning and person B who sleeps late and study all night became roommate. When A want to sleep, B will turn on the light to study. When B want to sleep, A will woke up and might makes some noises. Both of them will suffer from having a good sleep.
 In conclusion, I think living with a student who university chose for me is too risky. It will needs some times to be friendly and might have trouble because of different life style. So, I will choose roommate by my self to enjoy my perfect dormitory life."	3	3	3	9
561	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"When students begin their campus life, school usually assign a roommate for them. Some of the students can be a good friend with their roommate, but other might spend horrible semester because of the difference of characteristics, snoring and many other reasons. So, I think there are much more advantages if we choose our own roommate. 

 First, we don't have to feel fear about meeting new kinds of person. Usually, meeting various people is important. But, If we narrow down this issue to 'roommate', new kinds of person can be an 'unnecessary' fear. For example, let's pretend I like cleaning room and sleep at 0am. I might be very exhausted if my random roommate don't like cleaning and sleep earlier than me. Unfortunately, we even cannot know the information like I mentioned IF our roommate is randomly assigned by school. But, if I can choose my own roommate, this problem can be solved. I can choose roommate who has similar life style with me. I think the most important value of college is 'free'. So, we don't have to be stressed because of our random roommate. Meeting new kinds of person is important. But, in this case it is unnecessary.

 Second, snoring or some habits of roommate can be a great interruption. When I was a high school students, our dormitory roommates were randomly assigned by teacher. As a result of it, I had to use room with friends who snore a lot and other friends who was sensitive to it. I can't sleep if my room isn't quiet. So, it was such a harsh semester for me. If school randomly assign roommates, their must be lots of victims if there is no system to handle it. The best and easiest way is to let students choose their own roommates.

 We should handle the problems generated by different characteristics and specific habits of roommates if school randomly assign our roommate. With elaborate assigning system, random assignment can be effective. But, I think letting students to use their room with their 'best fit' is better way."	3.5	3.5	3	10
562	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"Maybe you saw that many students live in dormitory who is in university. In KAIST, there are many dormitory and we can choose room and roommate. So, I've thought about using dormitory room with random roommate or with roommate I choose. Each have good and bad point, but I think choose my own roommate is better.
First, we don't need to worry about roommate. When I was in highschool there is dormitory and its roommate was random. There were many type of roommates such as student who sleep late at night, noisy student, dirty student, and so on. It makes stress to worry my new roommate. However, if I choose my roommate, I can select roommate as I want. Of course, it is hard to choose when I assign, but it is better than ramdom roommate. Because of worrying of roommate, I think choosing my own roommate is better.
Second, it don't need to get awkwardness. When I was in highschool, it was hard to move room because of awkwardness with new roommate. Of course, as time goes, I and my roommate are relieved of awkwardness but depending on the roommate, it can be difficult. So, it is better to use room with person I choose.
Third, it is easy to play with another friends in my room. If there is random roommate in the dormitory, it is difficult to call other friends in my room, when my roommate get shy. As I'm in university and in dormitory, it is frequent to call friend in my room and play with. I think it is easy to do with roommate who I choose. So I think choosing roommate on my own is better.
In conclusion, I think it is better to choose my own roommate because we don't need to worry about roommate, don't need to get awkwardness, and easy to play with another friends in my room."	3	3.5	3	9.5
563	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"Dormitory is one of the most important parts in campus life. It is the place where students spend most times and live. So roommate who live together is important. We have to live in same room for everyday so roommate effects your life strongly. If I have to live with roommate together, I prefer choosing roommate in my own. 
  First, if university assign roommate randomly, we need some times  to be closer and friendly. We meet first time at dormitory as a roommate so we don't know about each other. In worse, if random roommate is foreigner it will be much harder to be close and communicate because of different language. And this leads to uncomfortable life.
 Next, it's comfortable to live. If roommate and I are not close, we cannot act as I do in my home. However, if I choose my roommate, I can choose who have similar life style. But in random, we have to make rules to not bother each other. Also, if we have different activity time, it's hard to eat lunch or turn on the light. Because of covid-19, most of university prefer online classes. So different life style can also effect studying.  This little things stacks and can become stress to you.
 Finally, I can get some information more easily. If I choose my roommate in same department, we can share some tips about classes or school life. We can share textbook pdf files, alarm class times and some notices. It can improve their  mistakes each other. 
 To conclude, I would rather choose my roommate because I don't have to spend time to be close, more comfortable life and can get information. Dormitory has great effectness in university life. So if 2 people must live in 1 room, university have to give chance to choose their own roommates."	2.5	3.5	2.5	8.5
564	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"Most universities have a dormitory and many students live in it.  Some students want roommates, but some students don't want roommates. I think using a room alone is better than using a room with roommates because of two reasons. 
  First, we don't have to think about a roommate's life pattern. Every people have a different life pattern. For example, people's wake-up time is very various. So, both roommates have to be careful when someone sleeping in the room. There are many other examples. It would be very uncomfortable. 
  Secondly, we can use a room more freely. When we don't have a roommate, we can use the whole room. We can change our room more suitable for us. We can place objects where we feel better. We can eat what we want in the room.  We don't need a roommate's permissions to do something. 
  I think living alone in the dormitory room is better because of differences in life patterns and freedom. The last semester, I shared a room with my friends. But now, I use a dormitory room alone and I'm satisfying more. "	2.5	3	3	8.5
565	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"Almost rooms of university's dormitory are not individual room.And individual room is more expensive. So almost student choose to live with their roommates. They can choose their roommate, or school choose their roommate randomly. In my case, I don't want to live with random roommate, so I contact with other students to choose my roommate. There are three reasons why I think choosing roommate myself is better than random roommate. 
First, I can choose roommate who has similar sleeping cycle. For example, I go to the bed at 12 a.m. and wake up at 7 a.m. It's not common case in KAIST. I go the bed earlier than other students and I also wake up earlier than most students. It's hard to live together in a same room, if you and your roommate's sleeping cycle is so different. Imagine that you really want to go to bed, however your roommate doing her work, you can't turn off the light to go to bed of course, and you can't sleep well with roommate who doing his/her work. Since I want to choose roommate who has similar sleeping cycle, so I want to choose my own roommate .
Second, I don't have any information of random roommate. Maybe she is bad at cleaning her room, or she don't clear herself, or she always talk to the phone loudly, etc. In my high school, a girl  always talk to her boyfriend until the late night. Her roommate, my best friend,  couldn't sleep well because of her voice and light of her phone.  I think I can't stand out with that types of roommates. But if I choose my roommates, I can search and ask about my roommate whether she is nice, and clean. Choosing by university has high probability of meeting weird roommates.
Lastly, I can share room with my friends. I guess most people prefer to share their room with their friends than strangers. If you share dormitory room with your friends, you can feel like having school trip everyday, you can talk each other all night, and you can eat delicious food with your friends in your room! I think it must be nice experience to everyone. And fact, many students choose their friends to roommate until now. 
These three reasons show why I think choosing roommate myself is better than choosing random roommate by university. I can choose roommate who has similar sleeping cycle for my comfortable sleep, I can avoid someone who doesn't accept to living together and I can share dormitory room with my friends. If you worry about your new roommate, I recommend you to find your roommate yourself. It must be better than choosing by university."	3.5	4	3.5	11
566	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"A few days ago community site of kaist was very hot because of the discussions about the following; If we have to share dormitory room with someone, what is better, assigning a student randomly or choosing roommates in my own. Some people said that chosen roommate is better than assigned roommate but, others argued in opposite. In this article, I mention that chosen roommate is better than randomly assigned roommate for the following reasons.
 First, if we choose our roommate in our own, we can lessen arguments with each other. When we choose our roommates, we can consider that his or her habits such as sleeping patterns and time span when activated are similar with me. When roommates are assigned randomly by the university and there characteristics are totally different with me, then arguments between roommates would be occur more easily.
 Second, we can have a time in dormitory more comfortably when we choose our roommate. If we choose our roommate, we usually choose roommate as a friend who is most friendly with us. Time using dormitory room with best friend becomes more comfortable than with friends whom we met new.
  Of course, if we respect each other when we use dormitory with roommates, then each person would have a good time using dormitory room for either case; choosing our roommates or assigning our roommates. But, letting us to choose our roommates can make us live more happily for the reasons following; it lessens arguments with each other and make us use dormitory more comfortably. So kaist should consider this point to us."	3	3	3	9
567	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"If there is no COVID 19 situation, almost all of the students may be in dormitory rooms in campus. When we have to go there, the most important thing that student concerns about is his or her roommate. Some of the students say that we need to choose our own roommate. However, in my opinion, It is better that the university assign a student to share a room.
           First, we can make a new friend. In many universities, especially in KAIST, around a thousand students newly come to the campus from different high schools. Some of them might do not have high school friends and do not know anyone before the class begins. In this situation, if the university makes them choose their roommate, they will become very hard to choose someone. If the university assign new person to them, however, they might be awkward at the first few days, but they do not need to worry about it. Furthermore, it is a good chance to make a new friend. 
           On top of that, we can avoid some problems which are caused by choosing roommate. In my experience, it is rare that someone has only one friend. Generally, the students play together with group, which is more than three people. For example, imagine that 3 people come to the same university and they are friend each other. When they have to choose their roommate, It is natural that they want to choose their group members. However, the dormitory rooms must be shared only by two. They get some problem here, but ultimately, this could not be happend if the university has assigned new student to each of them.
           To summarize, I think choosing our own dormitory roommate is a bad choice because we can miss a great chance to make new freinds and there might be a problem if we do so. I said about the problem when the number of friend group is odd, but still there can be many other problems. Since there are many advantages and disadvantages for each opinion, so we need to think about this topic in various aspects."	3.5	3.5	3.5	10.5
568	"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and examples to support your answer. "	"   I think that choosing my own roommate is better choice. There are two reasons why I prefer to choose  my own roommate in this case, one is from individual aspect and the other is from aspect of system efficiency.
  First, both of me and my roommate will be in better condition while studying, playing, and keeping our performance growing. If I choose my roommate, I will consider how friendly he is and how his living routine is. And this will go same for other students. Good relationship with roommate can give students energy to overcome difficulties (in studying, making an important decision, etc.) and evolve themselves being a confident and powerful ones. Having similar routine with roommate is important to executing schedules of both of us. If not, one's behavior(such as studying with light on) can bother the other.
  Second, letting the university assign my roommate lacks of efficiency and doesn't make sense. the dormitory team can surely attain dormitory users' requirement and assign students considering the requirements obtained. So choosing roommate would come first before the university assign students' roommate. If students' requirement or choice about roommate collide, then they should make a agreement each other after some contacts. Otherwise, the university should consider random assign as final tool.
  According to these two reasons, I strongly argue that choosing my own roommate is much better choice than the former. It will improve performances of me and my roommate by keeping good relationship, synchronizing day routine, with the system making its best effort and result."	3	3.5	3.5	10
